Fecha,H0,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23
2007-01-01,57.60,56.60,56.60,56.60,56.60,56.60,56.20,56.20,56.20,56.60,56.60,56.60,56.60,56.60,56.60,56.20,56.20,56.60,56.60,57.60,57.60,56.60,56.60,56.60
2007-01-02,57.50,57.50,57.50,57.50,57.50,57.50,57.50,57.60,57.60,57.60,57.60,58.10,58.10,58.10,58.10,57.60,57.60,58.10,68.10,73.12,68.10,58.10,57.60,57.60
2007-01-03,57.60,57.60,57.60,57.60,57.60,57.60,57.60,57.60,66.60,66.60,66.60,66.60,66.60,66.60,66.60,66.60,66.60,66.60,70.60,80.60,70.60,69.60,66.60,57.60
2007-01-04,60.60,60.60,60.60,60.60,60.60,60.60,68.10,68.10,68.10,70.60,70.60,70.60,70.60,70.60,70.60,70.60,70.60,70.60,72.60,80.60,72.60,71.60,70.60,68.10
2007-01-05,70.60,70.60,70.60,70.60,70.60,70.60,71.10,71.10,71.10,71.59,71.59,71.60,71.59,71.59,71.59,71.59,71.59,71.59,73.10,80.60,73.10,71.60,71.59,71.10
2007-01-06,74.59,74.59,74.59,73.60,74.59,74.59,74.59,75.10,75.10,78.60,80.60,80.60,80.60,80.60,78.60,75.10,75.10,78.60,81.60,81.60,81.60,81.60,80.60,75.10
2007-01-07,84.60,84.60,81.58,81.58,82.60,82.60,81.58,82.60,84.60,84.60,84.60,84.60,84.60,84.60,84.60,84.60,84.60,84.60,84.60,85.10,84.60,84.60,84.60,84.60
2007-01-08,85.20,85.20,84.60,84.60,84.60,84.60,84.60,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.20,85.50,85.60,85.50,85.50,85.20,85.20
2007-01-09,82.60,82.60,82.60,82.60,82.60,82.60,82.60,85.50,85.50,85.50,85.50,85.70,85.70,85.50,85.70,85.70,85.70,86.60,90.60,90.60,90.10,86.60,85.50,85.50
2007-01-10,85.70,82.60,82.60,82.60,82.60,86.60,86.60,87.60,87.60,87.60,87.60,91.60,91.60,87.60,91.60,91.60,91.60,91.60,95.60,100.60,91.60,91.60,87.60,87.60
2007-01-11,89.00,89.00,89.00,89.00,89.00,89.00,89.00,90.60,95.59,95.59,95.59,95.59,95.59,95.59,95.59,95.59,95.59,95.59,95.60,115.60,95.60,95.59,95.59,90.60
2007-01-12,93.10,92.60,92.60,92.60,93.10,93.10,93.10,95.60,96.60,97.60,97.60,97.60,97.60,97.60,97.60,97.60,97.60,97.60,98.60,98.60,97.60,97.60,95.60,93.10
2007-01-13,96.60,93.50,93.50,93.50,93.50,93.50,96.60,96.60,97.10,97.10,97.10,97.50,97.10,97.10,97.10,96.60,96.60,97.10,99.60,99.60,99.60,99.60,96.60,96.60
2007-01-14,93.60,93.60,93.60,93.60,93.60,93.60,93.60,93.60,93.60,93.60,95.60,95.60,95.60,95.60,93.60,93.60,93.60,95.60,103.60,103.60,103.60,103.60,96.70,95.60
2007-01-15,86.51,58.60,58.60,58.60,66.60,75.60,75.60,92.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,103.70,103.70,103.70,103.50,102.60,92.60
2007-01-16,80.66,80.60,80.60,80.60,80.60,80.66,85.60,85.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,103.50,105.60,103.50,102.60,85.60,80.66
2007-01-17,79.66,78.60,78.60,78.60,78.60,79.66,85.60,85.60,100.60,100.60,100.60,100.60,100.60,100.60,100.60,100.60,100.60,100.60,102.60,102.60,102.60,100.60,95.60,85.60
2007-01-18,82.60,80.60,80.60,80.60,82.60,82.60,82.60,82.60,90.60,90.60,94.60,94.60,94.60,94.60,94.60,94.60,94.60,94.60,109.60,109.60,109.60,94.60,84.51,82.60
2007-01-19,82.60,79.45,79.45,79.45,79.45,82.60,90.60,90.60,91.60,91.60,91.60,91.60,91.60,91.60,91.60,91.60,91.60,91.60,114.10,114.10,114.10,91.60,90.60,82.60
2007-01-20,92.10,92.10,82.49,82.49,82.49,92.10,92.60,92.60,93.60,93.60,93.60,93.60,93.60,93.60,93.60,92.60,92.60,92.60,93.60,94.59,94.59,93.60,92.60,92.60
2007-01-21,85.58,77.10,77.10,77.10,77.10,77.10,77.10,77.10,90.60,90.60,90.60,90.60,90.60,90.60,90.60,90.60,90.60,90.60,126.60,128.86,127.60,127.60,90.60,90.60
2007-01-22,62.60,33.70,33.70,33.70,33.70,61.60,75.45,90.60,91.60,91.60,91.60,91.60,91.60,91.60,91.60,91.60,91.60,91.60,130.60,145.60,130.60,91.60,90.60,62.60
2007-01-23,85.58,78.35,78.35,78.35,78.35,89.60,89.60,90.60,91.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,130.60,102.60,102.60,90.60,89.60
2007-01-24,78.35,78.35,77.60,77.60,78.35,90.60,99.60,99.60,99.60,99.60,99.60,101.60,99.60,99.60,101.60,101.60,99.60,102.60,102.60,102.60,102.60,102.60,99.60,90.60
2007-01-25,78.35,78.35,78.35,78.35,78.35,78.60,85.58,96.60,101.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,102.60,101.60,78.60,78.60
2007-01-26,96.60,96.60,86.58,86.58,96.60,100.60,100.60,100.60,101.60,120.60,120.60,120.60,120.60,120.60,120.60,120.60,120.60,120.60,120.60,130.60,120.60,120.60,101.60,100.60
