Ano,Mes,Ano_Mes,Fecha,Precios_Mensuales,Aportes_Energia_GWh,Volumen_Util_Diario_Energia_GWh,Demanda_Energia_SIN_GWh,ONI,CEN_Total,CEN_Hidro,CEN_Termica,Dem_CEN,Termica_Hidraulica
2000,1,2000-01,2000-01-01,36.77877993548388,1900.6598000000001,10115.86597822,3354.2373654599996,-1.7,11.88597,7.97497,3.897,0.3793,0.4887
2000,2,2000-02,2000-02-01,40.26147682758622,1993.6358,9705.06532252,3278.2667357799996,-1.4,11.88597,7.97497,3.897,0.3963,0.4887
2000,3,2000-03,2000-03-01,37.637297376344094,2253.3606,9222.965656119999,3495.2031976999997,-1.1,11.96897,8.05797,3.897,0.3925,0.4836
2000,4,2000-04,2000-04-01,44.29805744444445,2429.6512,8945.68417472,3298.3857308799998,-0.8,12.05397,8.14297,3.897,0.38,0.4786
2000,5,2000-05,2000-05-01,37.291121849462364,4817.901,10131.14785662,3502.1271244199997,-0.7,12.29927,8.23427,4.051,0.3827,0.492
2000,6,2000-06,2000-06-01,39.9932027638889,4889.5626,11020.11032802,3367.88595728,-0.6,12.44327,8.23427,4.195,0.3759,0.5095
2000,7,2000-07,2000-07-01,42.801140806451606,4485.1641,11302.05168812,3459.3627365400002,-0.6,12.44927,8.24027,4.195,0.3735,0.5091
2000,8,2000-08,2000-08-01,49.070172247311824,4450.3652,11371.62397162,3518.5190720499995,-0.5,12.44927,8.24027,4.195,0.3799,0.5091
2000,9,2000-09,2000-09-01,59.53525166666665,4497.1032000000005,11396.87959682,3456.2032596999993,-0.5,12.58267,8.26467,4.304,0.3815,0.5208
2000,10,2000-10,2000-10-01,48.42078824731182,3751.0078,11357.16046212,3576.067647999999,-0.6,12.58267,8.26467,4.304,0.382,0.5208
2000,11,2000-11,2000-11-01,45.39779070833333,3320.5524,11352.02275272,3527.626245849999,-0.7,12.73367,8.26467,4.455,0.3848,0.539
2000,12,2000-12,2000-12-01,55.409789182795684,2174.7536,11131.33118902,3644.9586556800004,-0.7,12.73667,8.27467,4.4479999999999995,0.3846,0.5375
2001,1,2001-01,2001-01-01,70.60905913978495,1519.5884,9612.75247942,3512.75396613,-0.7,13.03767,8.52467,4.499,0.3621,0.5278
