Ano,Mes,Ano_Mes,Precios_Mensuales,Aportes_Energia_GWh,Volumen_Util_Diario_Energia_GWh,Demanda_Energia_SIN_GWh,CEN_Total,CEN_Hidro,CEN_Termica
2000,1,2000-01,36.77877993548388,1900.6598000000001,10115.86597822,3354.2373654599996,11.88597,7.97497,3.897
2000,2,2000-02,40.26147682758622,1993.6358,9705.06532252,3278.2667357799996,11.88597,7.97497,3.897
2000,3,2000-03,37.637297376344094,2253.3606,9222.965656119999,3495.2031976999997,11.96897,8.05797,3.897
2000,4,2000-04,44.29805744444445,2429.6512,8945.68417472,3298.3857308799998,12.05397,8.14297,3.897
2000,5,2000-05,37.291121849462364,4817.901,10131.14785662,3502.1271244199997,12.29927,8.23427,4.051
2000,6,2000-06,39.9932027638889,4889.5626,11020.11032802,3367.88595728,12.44327,8.23427,4.195
2000,7,2000-07,42.801140806451606,4485.1641,11302.05168812,3459.3627365400002,12.44927,8.24027,4.195
2000,8,2000-08,49.070172247311824,4450.3652,11371.62397162,3518.5190720499995,12.44927,8.24027,4.195
2000,9,2000-09,59.53525166666665,4497.1032000000005,11396.87959682,3456.2032596999993,12.58267,8.26467,4.304
2000,10,2000-10,48.42078824731182,3751.0078,11357.16046212,3576.067647999999,12.58267,8.26467,4.304
2000,11,2000-11,45.39779070833333,3320.5524,11352.02275272,3527.626245849999,12.73367,8.26467,4.455
2000,12,2000-12,55.409789182795684,2174.7536,11131.33118902,3644.9586556800004,12.73667,8.27467,4.4479999999999995
2001,1,2001-01,70.60905913978495,1519.5884,9612.75247942,3512.75396613,13.03767,8.52467,4.499
2001,2,2001-02,86.03903273809522,1160.0055,8456.46537122,3300.2853371799997,13.03767,8.52467,4.499
2001,3,2001-03,70.62147849462363,1931.9479000000001,7853.27463362,3669.3758575400007,13.03267,8.52467,4.494
2001,4,2001-04,67.13774999999998,1984.7562,7446.44813342,3498.8792152400006,13.39567,8.91767,4.4639999999999995
2001,5,2001-05,50.00731182795699,3696.3799,8381.51781942,3666.3526959500014,13.14567,8.66767,4.4639999999999995
2001,6,2001-06,43.02415277777778,4133.6049,9818.78813082,3451.935580950001,13.15767,8.67967,4.4639999999999995
2001,7,2001-07,39.86760752688174,3721.9158,10600.00979972,3607.6113405400015,13.15767,8.67967,4.4639999999999995
2001,8,2001-08,38.964368279569904,3697.6541,10912.57112712,3730.510503960001,13.15767,8.67967,4.4639999999999995
2001,9,2001-09,45.31041666666667,3390.6554,11166.89429552,3594.7730933300013,13.15867,8.68067,4.4639999999999995
